2026-09-23 13:48:25 | INFO     | startup | ==================================================
2026-09-23 13:48:25 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:25 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:25 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:26 | INFO     | startup | ==================================================
2026-09-23 13:48:26 | INFO     | startup | Order API starting on port 5000
2026-09-23 13:48:26 | INFO     | startup | DB config: host=postgres, db=shop
2026-09-23 13:48:26 | INFO     | startup | Connecting to PostgreSQL...
2026-09-23 13:48:26 | INFO     | startup | PostgreSQL connected OK
2026-09-23 13:48:26 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:26 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:26 | INFO     | startup | Startup complete, ready to accept requests
2026-09-23 13:48:26 | INFO     | startup | ==================================================
2026-09-23 13:48:26 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:26 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:26 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:27 | INFO     | startup | ==================================================
2026-09-23 13:48:27 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:27 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:27 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:27 | INFO     | startup | ==================================================
2026-09-23 13:48:27 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:27 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:27 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:29 | INFO     | startup | ==================================================
2026-09-23 13:48:29 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:29 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:29 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:31 | INFO     | startup | ==================================================
2026-09-23 13:48:31 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:31 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:31 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:34 | INFO     | startup | ==================================================
2026-09-23 13:48:34 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:34 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:34 | CRITICAL | startup | RabbitMQ connection FAILED: 
2026-09-23 13:48:41 | INFO     | startup | ==================================================
2026-09-23 13:48:41 | INFO     | startup | Notify worker starting...
2026-09-23 13:48:41 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 13:48:41 | INFO     | startup | RabbitMQ connected OK
2026-09-23 13:48:41 | INFO     | startup | Waiting for messages on queue=orders
2026-09-23 14:49:24 | INFO     | startup | ==================================================
2026-09-23 14:49:24 | INFO     | startup | Notify worker starting...
2026-09-23 14:49:24 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 14:49:24 | INFO     | startup | RabbitMQ connected OK
2026-09-23 14:49:24 | INFO     | startup | Waiting for messages on queue=orders
2026-09-23 14:49:24 | INFO     | startup | ==================================================
2026-09-23 14:49:24 | INFO     | startup | Order API starting on port 5000
2026-09-23 14:49:24 | INFO     | startup | DB config: host=postgres, db=shop
2026-09-23 14:49:24 | INFO     | startup | Connecting to PostgreSQL...
2026-09-23 14:49:24 | INFO     | startup | PostgreSQL connected OK
2026-09-23 14:49:24 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 14:49:24 | INFO     | startup | RabbitMQ connected OK
2026-09-23 14:49:24 | INFO     | startup | Startup complete, ready to accept requests
2026-09-23 15:29:25 | INFO     | startup | ==================================================
2026-09-23 15:29:25 | INFO     | startup | Notify worker starting...
2026-09-23 15:29:25 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 15:29:25 | INFO     | startup | RabbitMQ connected OK
2026-09-23 15:29:25 | INFO     | startup | Waiting for messages on queue=orders
2026-09-23 15:29:25 | INFO     | startup | ==================================================
2026-09-23 15:29:25 | INFO     | startup | Order API starting on port 5000
2026-09-23 15:29:25 | INFO     | startup | DB config: host=postgres, db=shop
2026-09-23 15:29:25 | INFO     | startup | Connecting to PostgreSQL...
2026-09-23 15:29:25 | INFO     | startup | PostgreSQL connected OK
2026-09-23 15:29:25 | INFO     | startup | Connecting to RabbitMQ...
2026-09-23 15:29:25 | INFO     | startup | RabbitMQ connected OK
2026-09-23 15:29:25 | INFO     | startup | Startup complete, ready to accept requests
